id_evento,fonte,objeto,id_objeto,nome_host,horario,ns,id_evento_resolvido,horario_resolvido,ns_resolvido,id_correlacao,id_usuario,descricao,reconhecido,severidade,id_evento_causa,dados_operacao,reconhecimentos,dados_supressao,supresso,tags
5531838,0,0,302744,BRUX0477,2024-06-17 15:08:40,238833652,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl179: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (95.0488 %),[],[],0,[]
5531813,0,0,302803,BRUX0477,2024-06-17 15:08:39,895370065,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl125: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (95.7312 %),[],[],0,[]
5531812,0,0,302743,BRUX0477,2024-06-17 15:08:39,894787276,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl18: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (97.3714 %),[],[],0,[]
5531811,0,0,302683,BRUX0477,2024-06-17 15:08:39,894357779,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl234: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (97.5205 %),[],[],0,[]
5531810,0,0,302624,BRUX0477,2024-06-17 15:08:40,232158160,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl288: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (95.6687 %),[],[],0,[]
5531809,0,0,302623,BRUX0477,2024-06-17 15:08:39,893886386,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl289: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (96.7308 %),[],[],0,[]
5531808,0,0,302564,BRUX0477,2024-06-17 15:08:40,230820041,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl342: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (95.1347 %),[],[],0,[]
5531807,0,0,302563,BRUX0477,2024-06-17 15:08:39,893465850,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl343: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (96.7027 %),[],[],0,[]
5531806,0,0,302504,BRUX0477,2024-06-17 15:08:40,230384133,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl397: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (98.9089 %),[],[],0,[]
5531805,0,0,302444,BRUX0477,2024-06-17 15:08:40,224472101,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl451: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (98.0876 %),[],[],0,[]
